[2022-02-09 23:41:17,879] INFO [setUpClass testcase_05_selectGoodCategory.py 14] selectGoodCategory接口用例页开始
[2022-02-09 23:41:17,975] INFO [TestCase_Log testcase_log.py 9] 测试用例：selectGoodCategory_para_nomal
[2022-02-09 23:41:17,975] INFO [TestCase_Log testcase_log.py 10] Url：http://192.168.107.135:80/freshO2O/goodsSelectByCategory.action
[2022-02-09 23:41:17,975] INFO [TestCase_Log testcase_log.py 11] 请求参数：{"category_id":"3"}
[2022-02-09 23:41:17,975] INFO [TestCase_Log testcase_log.py 12] 期望结果：{"result":"ok"}
[2022-02-09 23:41:17,975] INFO [TestCase_Log testcase_log.py 13] 实际结果：{"category_id":3,"list":[{"GDesc":"吃猪肉，强身健体","GDis":null,"GId":8,"GName":"猪肉","GPic":"\/upload\/20160327233002.jpg","GPrice":23.0,"GType":null,"categoryId":3,"g_count":200,"g_discount":0,"g_integration":0,"g_reco":"0"},{"GDesc":"羊肉能御风寒，又可补身体，适宜于冬季食用，故被称为冬令补品，深受人们欢迎。","GDis":null,"GId":19,"GName":"羊肉","GPic":"\/upload\/yangrou.jpg","GPrice":36.0,"GType":null,"categoryId":3,"g_count":2,"g_discount":0,"g_integration":0,"g_reco":"0"},{"GDesc":"牛肉是指从牛身上得出的肉，为常见的肉品之一。","GDis":null,"GId":20,"GName":"牛肉","GPic":"\/upload\/niurou.jpg","GPrice":48.0,"GType":null,"categoryId":3,"g_count":2,"g_discount":0,"g_integration":0,"g_reco":"0"},{"GDesc":"鸡肉不但适于热炒、炖汤，而且是比较适合冷食凉拌的肉类。","GDis":null,"GId":29,"GName":"鸡肉","GPic":"\/upload\/jirou.jpg","GPrice":16.8,"GType":null,"categoryId":3,"g_count":200,"g_discount":0,"g_integration":0,"g_reco":"0"},{"GDesc":"鸭是为餐桌上的上乘肴馔，也是人们进补的优良食品。","GDis":null,"GId":30,"GName":"鸭肉","GPic":"\/upload\/yarou.jpg","GPrice":18.8,"GType":null,"categoryId":3,"g_count":100,"g_discount":0,"g_integration":0,"g_reco":"0"}],"msg":"","result":"ok"}
[2022-02-09 23:41:17,976] INFO [testselectGoodCategory testcase_05_selectGoodCategory.py 30] 测试结果为Pass
[2022-02-09 23:41:18,069] INFO [TestCase_Log testcase_log.py 9] 测试用例：selectGoodCategory_para_mix
[2022-02-09 23:41:18,069] INFO [TestCase_Log testcase_log.py 10] Url：http://192.168.107.135:80/freshO2O/goodsSelectByCategory.action
[2022-02-09 23:41:18,069] INFO [TestCase_Log testcase_log.py 11] 请求参数：{"category_id":"3","result":"fail"}
[2022-02-09 23:41:18,069] INFO [TestCase_Log testcase_log.py 12] 期望结果：{"result":"ok"}
[2022-02-09 23:41:18,070] INFO [TestCase_Log testcase_log.py 13] 实际结果：{"category_id":3,"list":[{"GDesc":"吃猪肉，强身健体","GDis":null,"GId":8,"GName":"猪肉","GPic":"\/upload\/20160327233002.jpg","GPrice":23.0,"GType":null,"categoryId":3,"g_count":200,"g_discount":0,"g_integration":0,"g_reco":"0"},{"GDesc":"羊肉能御风寒，又可补身体，适宜于冬季食用，故被称为冬令补品，深受人们欢迎。","GDis":null,"GId":19,"GName":"羊肉","GPic":"\/upload\/yangrou.jpg","GPrice":36.0,"GType":null,"categoryId":3,"g_count":2,"g_discount":0,"g_integration":0,"g_reco":"0"},{"GDesc":"牛肉是指从牛身上得出的肉，为常见的肉品之一。","GDis":null,"GId":20,"GName":"牛肉","GPic":"\/upload\/niurou.jpg","GPrice":48.0,"GType":null,"categoryId":3,"g_count":2,"g_discount":0,"g_integration":0,"g_reco":"0"},{"GDesc":"鸡肉不但适于热炒、炖汤，而且是比较适合冷食凉拌的肉类。","GDis":null,"GId":29,"GName":"鸡肉","GPic":"\/upload\/jirou.jpg","GPrice":16.8,"GType":null,"categoryId":3,"g_count":200,"g_discount":0,"g_integration":0,"g_reco":"0"},{"GDesc":"鸭是为餐桌上的上乘肴馔，也是人们进补的优良食品。","GDis":null,"GId":30,"GName":"鸭肉","GPic":"\/upload\/yarou.jpg","GPrice":18.8,"GType":null,"categoryId":3,"g_count":100,"g_discount":0,"g_integration":0,"g_reco":"0"}],"msg":"","result":"ok"}
[2022-02-09 23:41:18,070] INFO [testselectGoodCategory testcase_05_selectGoodCategory.py 30] 测试结果为Pass
[2022-02-09 23:41:18,178] INFO [TestCase_Log testcase_log.py 9] 测试用例：selectGoodCategory_para_opposite
[2022-02-09 23:41:18,178] INFO [TestCase_Log testcase_log.py 10] Url：http://192.168.107.135:80/freshO2O/goodsSelectByCategory.action
[2022-02-09 23:41:18,178] INFO [TestCase_Log testcase_log.py 11] 请求参数：{"result":"fail"}
[2022-02-09 23:41:18,179] INFO [TestCase_Log testcase_log.py 12] 期望结果：{"result":"fail"}
[2022-02-09 23:41:18,179] INFO [TestCase_Log testcase_log.py 13] 实际结果：{"category_id":3,"list":[{"GDesc":"吃猪肉，强身健体","GDis":null,"GId":8,"GName":"猪肉","GPic":"\/upload\/20160327233002.jpg","GPrice":23.0,"GType":null,"categoryId":3,"g_count":200,"g_discount":0,"g_integration":0,"g_reco":"0"},{"GDesc":"羊肉能御风寒，又可补身体，适宜于冬季食用，故被称为冬令补品，深受人们欢迎。","GDis":null,"GId":19,"GName":"羊肉","GPic":"\/upload\/yangrou.jpg","GPrice":36.0,"GType":null,"categoryId":3,"g_count":2,"g_discount":0,"g_integration":0,"g_reco":"0"},{"GDesc":"牛肉是指从牛身上得出的肉，为常见的肉品之一。","GDis":null,"GId":20,"GName":"牛肉","GPic":"\/upload\/niurou.jpg","GPrice":48.0,"GType":null,"categoryId":3,"g_count":2,"g_discount":0,"g_integration":0,"g_reco":"0"},{"GDesc":"鸡肉不但适于热炒、炖汤，而且是比较适合冷食凉拌的肉类。","GDis":null,"GId":29,"GName":"鸡肉","GPic":"\/upload\/jirou.jpg","GPrice":16.8,"GType":null,"categoryId":3,"g_count":200,"g_discount":0,"g_integration":0,"g_reco":"0"},{"GDesc":"鸭是为餐桌上的上乘肴馔，也是人们进补的优良食品。","GDis":null,"GId":30,"GName":"鸭肉","GPic":"\/upload\/yarou.jpg","GPrice":18.8,"GType":null,"categoryId":3,"g_count":100,"g_discount":0,"g_integration":0,"g_reco":"0"}],"msg":"","result":"ok"}
[2022-02-09 23:41:18,179] INFO [testselectGoodCategory testcase_05_selectGoodCategory.py 33] 测试结果为Fail
[2022-02-09 23:41:18,284] INFO [TestCase_Log testcase_log.py 9] 测试用例：selectGoodCategory_business_logic
[2022-02-09 23:41:18,284] INFO [TestCase_Log testcase_log.py 10] Url：http://192.168.107.135:80/freshO2O/goodsSelectByCategory.action
[2022-02-09 23:41:18,284] INFO [TestCase_Log testcase_log.py 11] 请求参数：{"category_id":"3","category_id":"4"}
[2022-02-09 23:41:18,285] INFO [TestCase_Log testcase_log.py 12] 期望结果：{"result":"fail"}
